Date,Time,Comp,Round,Day,Venue,Result,GF,GA,Opponent,Poss,Attendance,Captain,Formation,Referee,Match Report,Notes,Team
2024-06-05,21:00,Friendlies (M),Friendlies (M),Wed,Home,,,,lu Luxembourg,,,,,,Head-to-Head,,fr France
2024-06-09,21:15,Friendlies (M),Friendlies (M),Sun,Home,,,,ca Canada,,,,,,Head-to-Head,,fr France
2024-06-17,21:00,UEFA Euro,Group stage,Mon,Away,,,,at Austria,,,,,,Head-to-Head,,fr France
2024-06-21,21:00,UEFA Euro,Group stage,Fri,Away,,,,nl Netherlands,,,,,,Head-to-Head,,fr France
2024-06-25,18:00,UEFA Euro,Group stage,Tue,Home,,,,pl Poland,,,,,,Head-to-Head,,fr France
2023-03-28,20:00,UEFA Euro Qualifying,Group stage,Tue,Home,D,1,1,no Norway,34.0,20300.0,Guram Kashia,5-3-2,Andris Treimanis,Match Report,,ge Georgia
2023-06-17,21:45,UEFA Euro Qualifying,Group stage,Sat,Away,W,2,1,cy Cyprus,55.0,3763.0,Guram Kashia,3-5-2,Fábio Veríssimo,Match Report,,ge Georgia
2023-06-20,19:45,UEFA Euro Qualifying,Group stage,Tue,Away,L,0,2,sct Scotland,49.0,50062.0,Guram Kashia,4-4-1-1,István Vad II,Match Report,,ge Georgia
2023-09-08,20:00,UEFA Euro Qualifying,Group stage,Fri,Home,L,1,7,es Spain,28.0,51694.0,Guram Kashia,4-4-2,Daniel Siebert,Match Report,,ge Georgia
2023-09-12,20:45,UEFA Euro Qualifying,Group stage,Tue,Away,L,1,2,no Norway,38.0,23665.0,Guram Kashia,5-3-2,Nikola Dabanović,Match Report,,ge Georgia
2023-10-15,17:00,UEFA Euro Qualifying,Group stage,Sun,Home,W,4,0,cy Cyprus,60.0,15871.0,Guram Kashia,5-3-2,Robert Jones,Match Report,,ge Georgia
2023-11-16,21:00,UEFA Euro Qualifying,Group stage,Thu,Home,D,2,2,sct Scotland,36.0,44595.0,Guram Kashia,5-3-2,Aleksandar Stavrev,Match Report,,ge Georgia
2023-11-19,20:45,UEFA Euro Qualifying,Group stage,Sun,Away,L,1,3,es Spain,24.0,24146.0,Guram Kashia,5-3-2,Ovidiu Hațegan,Match Report,,ge Georgia
2024-03-21,21:00,UEFA Euro Qualifying,Semi-finals,Thu,Home,W,2,0,lu Luxembourg,56.0,,Guram Kashia,5-3-2,José Sánchez,Match Report,,ge Georgia
2024-03-26,21:00,UEFA Euro Qualifying,Finals,Tue,Home,D,0 (4),0 (2),gr Greece,36.0,,Guram Kashia,3-1-4-2,Szymon Marciniak,Match Report,Georgia won on penalty kicks following extra time,ge Georgia
2024-06-09,20:45,Friendlies (M),Friendlies (M),Sun,Away,,,,me Montenegro,,,,,,Head-to-Head,,ge Georgia
2024-06-18,18:00,UEFA Euro,Group stage,Tue,Away,,,,tr Türkiye,,,,,,Head-to-Head,,ge Georgia
2024-06-22,15:00,UEFA Euro,Group stage,Sat,Home,,,,cz Czechia,,,,,,Head-to-Head,,ge Georgia
2024-06-26,21:00,UEFA Euro,Group stage,Wed,Home,,,,pt Portugal,,,,,,Head-to-Head,,ge Georgia
2023-03-25,20:45,UEFA Euro Qualifying,Group stage,Sat,Home,D,1.0,1.0,wls Wales,67.0,33474.0,Luka Modrić,4-3-3,João Pinheiro,Match Report,,hr Croatia
2023-03-28,21:45,UEFA Euro Qualifying,Group stage,Tue,Away,W,2.0,0.0,tr Türkiye,54.0,37750.0,Luka Modrić,4-3-3,Andreas Ekberg,Match Report,,hr Croatia
2023-09-08,20:45,UEFA Euro Qualifying,Group stage,Fri,Home,W,5.0,0.0,lv Latvia,75.0,8152.0,Luka Modrić,4-2-3-1,Philip Farrugia,Match Report,,hr Croatia
2023-09-11,20:00,UEFA Euro Qualifying,Group stage,Mon,Away,W,1.0,0.0,am Armenia,68.0,14233.0,Luka Modrić,4-3-3,Clément Turpin,Match Report,,hr Croatia
2023-10-12,20:45,UEFA Euro Qualifying,Group stage,Thu,Home,L,0.0,1.0,tr Türkiye,63.0,12812.0,Luka Modrić,4-3-3,Anthony Taylor,Match Report,,hr Croatia
2023-10-15,19:45,UEFA Euro Qualifying,Group stage,Sun,Away,L,1.0,2.0,wls Wales,72.0,31240.0,Luka Modrić,4-3-3,Davide Massa,Match Report,,hr Croatia
2023-11-18,19:00,UEFA Euro Qualifying,Group stage,Sat,Away,W,2.0,0.0,lv Latvia,69.0,6747.0,Luka Modrić,4-2-3-1,Urs Schnyder,Match Report,,hr Croatia
2023-11-21,20:45,UEFA Euro Qualifying,Group stage,Tue,Home,W,1.0,0.0,am Armenia,67.0,20398.0,Luka Modrić,4-3-3,Ivan Kružliak,Match Report,,hr Croatia
2024-06-03,19:00,Friendlies (M),Friendlies (M),Mon,Home,,,,mk N. Macedonia,,,,,,Head-to-Head,,hr Croatia
2024-06-08,17:45,Friendlies (M),Friendlies (M),Sat,Away,,,,pt Portugal,,,,,,Head-to-Head,,hr Croatia
2024-06-15,18:00,UEFA Euro,Group stage,Sat,Away,,,,es Spain,,,,,,Head-to-Head,,hr Croatia
2024-06-19,15:00,UEFA Euro,Group stage,Wed,Home,,,,al Albania,,,,,,Head-to-Head,,hr Croatia
2024-06-24,21:00,UEFA Euro,Group stage,Mon,Home,,,,it Italy,,,,,,Head-to-Head,,hr Croatia
2023-03-27,20:45,UEFA Euro Qualifying,Group stage,Mon,Home,W,3.0,0.0,bg Bulgaria,55.0,53000.0,Dominik Szoboszlai,3-4-3,Halil Umut Meler,Match Report,,hu Hungary
